,"données brutes de fichier de digit de branche fuji36, branche + arbre fuji 42 et branche fuji 48 réarrangées",,,,,,,,,,,,,,,L*l*coef allométrie 2001/10,
#,X,Y,Z,A,B,C,code rameau,type rameau,Long rameau(mm),Long rameau(cm),Nbr feuille,L feuille(mm),largeur feuille,N° fruit,L digitalisée,Surf foliaire(cm²),somme surf foliaire rameau
1,125.88,54.6,-148.91,-147.25,-11.78,58.03,,,, ,,,,, ,,
1,125.72,53.92,-149.88,103.5,-35.74,30.7,,,, ,L1,24,20,,,3.53808,
1,125.1,55.47,-150.3,150.12,-57.37,-57.97,,,, ,L2,28,22,,,4.540536,
1,127.75,54.72,-149.15,134.18,-15.24,-83.9,,,, ,L3,26,20,,,3.83292,
1,127.56,54.77,-148.39,175.73,11.27,84.82,,,, ,L4,17,12,,,1.503684,
1,126.5,54.05,-148.5,37.06,-87,77.89,F36PC6,PC,3,0.30,2,,,,0.23,,37.628955
1,126.38,54.07,-148.31,33.45,-88.02,81.33,,,, ,,,,, ,,
1,121.58,54.66,-148.6,-10.93,18.44,36.93,,,, ,L1,73,47,,,25.289901,
1,123.86,53.41,-150.08,26.41,17.32,9.78,,,, ,L2,54,31,,,12.339054,
1,127.27,53.06,-146.18,-157.94,37.97,-51.67,F36VC8,VC,2,0.20,2,,,,0.28,,5.255523
1,127.48,52.88,-146.14,-157.39,38.12,-51.87,,,, ,,,,, ,,
1,127.57,53.6,-146.36,-115.83,10.08,50.25,,,, ,L1,23,16,,,2.712528,
1,128.07,52.83,-146.98,83.29,-46.64,-50.34,,,, ,L2,23,15,,,2.542995,
1,129.3,51.12,-141.41,-153.76,1.67,83.89,F36VC9,VC,5,0.50,4,,,,0.52,,33.810777
1,129.49,50.79,-141.06,-152.93,2.38,81.74,,,, ,,,,, ,,
1,130.49,49.81,-142.7,110.79,-48.16,-46.86,,,, ,L1,61,43,,,19.334133,
1,132.07,51.72,-140.18,177.62,8.03,21.32,,,, ,L2,42,27,,,8.358714,
1,131.33,50.74,-142.68,-71.58,-41.9,68.4,,,, ,L3,30,23,,,5.08599,
1,129.17,50.77,-141.8,18.51,-9.6,-59.05,,,, ,L4,14,10,,,1.03194,
1,129.09,52.32,-139.28,-129.54,32.22,4.16,F36IF7,IF,6,0.60,3,,,7,0.65,,8.270262
1,128.58,52.29,-138.88,-129.71,25.27,6.81,,,, ,,,,, ,,
1,128.88,53.36,-139.61,-80.57,35.61,43.76,,,, ,L1,23,22,,,3.729726,
1,129.28,51.51,-140.06,-30.27,3.07,26.4,,,, ,L2,22,15,,,2.43243,
1,129.26,50.91,-139.41,129.01,-67.34,-145.28,,,, ,L3,22,13,,,2.108106,
1,121.4,56.93,-136.03,-91.92,6.1,-71.81,F36VC10,VC,7,0.70,6,,,,0.66,,57.088395
1,120.75,56.86,-136.15,-93.55,6.78,-70.96,,,, ,,,,, ,,
1,118.48,57.98,-134.56,-21.66,27.94,31.84,,,, ,L1,68,44,,,22.054032,
1,121.27,58.77,-135.55,-86.33,19.82,-48.88,,,, ,L2,25,25,,,4.606875,
1,121.62,60.89,-137.38,-92.1,0.66,-45.27,,,, ,L3,53,45,,,17.579835,
1,121.28,58.47,-137.3,-129.25,-61.06,-51.14,,,, ,L4,13,11,,,1.054053,
1,120.75,54.73,-138.09,105.39,-58.52,9.3,,,, ,L5,44,35,,,11.35134,
1,122.01,56.91,-135.43,97.53,-16.32,81.37,,,, ,L6,10,6,,,0.44226,
1,122.3,57.04,-133.46,62.59,1.35,-8.08,F36IF8,IF,7,0.70,1,,,8,0.70,,3.6855
1,122.6,57.33,-132.9,63.79,2.15,-9.02,,,, ,,,,, ,,
1,121.81,57.87,-133.67,22.03,0.11,61.81,,,, ,L1,25,20,,,3.6855,
1,122.02,56.88,-133.01,106.72,1.83,-14.96,F36PC7,PC,16,1.60,3,,,RC7OMBRE,1.52,,76.370931
1,122.75,56.85,-131.68,108.51,-1.89,-12.77,,,, ,,,,, ,,
1,117.9,56.11,-131.4,10.36,22.87,28.71,,,, ,L1,80,49,,,28.89432,
1,120.67,55.33,-130.81,7.73,63.12,86.48,,,, ,L2,61,45,,,20.233395,
1,125.89,57.26,-131.96,161.64,12.15,-65.59,,,, ,L3,77,48,,,27.243216,
1,115.01,35.79,-186.19,-159.06,46.94,27.05,F36VC11,VC,5,0.50,4,,,,0.44,,47.041722
1,114.86,35.52,-186.51,-157.93,47.99,28.14,,,, ,,,,, ,,
1,115.2,36.34,-186.98,-167.28,-22.03,-1.71,,,, ,L1,26,21,,,4.024566,
1,114.56,36.72,-188.75,173.47,-70.4,80.76,,,, ,L2,41,36,,,10.879596,
1,114.51,34.62,-188.75,57.44,-37.34,-22.83,,,, ,L3,60,36,,,15.92136,
1,112.65,34.06,-187.16,2.08,27.09,-22.56,,,, ,L4,55,40,,,16.2162,
1,114.56,33.28,-184.51,-162.09,26.5,-15.85,F36IF9,IF,5,0.50,3,,,10,0.44,,8.307117
1,114.44,33.18,-184.1,-159.68,25.85,-13.38,,,, ,,,,, ,,
1,115.64,33.64,-183.48,-136.19,42.18,53.61,,,, ,L1,17,13,,,1.628991,
1,114.92,32.48,-184.8,19.97,-23.62,-35.03,,,, ,L2,15,12,,,1.32678,
1,112.83,33.48,-185.24,-78.92,-10.17,-66.57,,,, ,L3,33,22,,,5.351346,
1,113.41,41.04,-189.78,-162.67,26.57,-36.04,F36IF10,IF,5,0.50,4,,,11,0.65,,21.52332
1,113.55,40.49,-190.09,-154.68,27.18,-14.42,,,, ,,,,, ,,
1,113.61,40.29,-187.8,-143.26,73.37,153.6,,,, ,L1,34,30,,,7.51842,
1,111.59,40.53,-189.43,-122.33,49.38,-141.15,,,, ,L2,18,13,,,1.724814,
1,112.88,42.75,-189.45,-84.89,13.2,-38.21,,,, ,L3,39,32,,,9.199008,
1,115.12,39.87,-190.01,-179.74,26.83,13.39,,,, ,L4,22,19,,,3.081078,
1,114.34,40.68,-189.67,141.53,-13.99,-33.75,F36PL2,PL,300,30.00,15,,,,29.96,,328.997214
1,105.34,55.78,-213.93,169.84,31.88,-29.61,,,, ,,,,, ,,
1,115.19,43.47,-191.59,-135.06,6.23,14.73,,,, ,L1,65,47,,,22.518405,
1,109.59,44.39,-191.32,-50.66,10.36,6.86,,,, ,L2,75,55,,,30.405375,
1,111.43,41.59,-195.01,31.85,-65.8,34.85,,,, ,L3,75,48,,,26.5356,
1,112.48,46.32,-195.1,-112.21,-10.56,-28.38,,,, ,L4,71,50,,,26.16705,
1,110.03,44.59,-198.49,11.95,-24.4,-26.91,,,, ,L5,81,46,,,27.464346,
1,109.05,46.39,-199.14,42.54,-47.88,49.97,,,, ,L6,63,45,,,20.896785,
1,108.92,50.14,-201.28,-104.36,-16.89,-20.96,,,, ,L7,76,50,,,28.0098,
1,107.48,48.63,-204.21,23.73,-17.6,-0.16,,,, ,L8,77,51,,,28.945917,
1,105.25,54.72,-207.59,-72.51,-7.52,16.03,,,, ,L9,72,55,,,29.18916,
1,107.99,50.37,-211.73,77.09,-48,3.3,,,, ,L10,80,47,,,27.71496,
1,105.53,54.99,-211.66,-105.89,-11.69,3.3,,,, ,L11,44,33,,,10.702692,
1,105.92,56.05,-211.89,-30.65,-57.29,27.12,,,, ,L12,52,32,,,12.265344,
1,106.29,55.33,-214.67,173.43,-44.01,4.65,,,, ,L13,54,35,,,13.93119,
1,104.7,58.08,-214.95,-79.29,-19.2,10.32,,,, ,L14,54,35,,,13.93119,
1,104.68,55.5,-215.43,21.24,-68.48,30.14,,,, ,L15,50,28,,,10.3194,
1,108.79,49.85,-182.72,-151.07,-47.35,-54.07,F36I10,I,6,0.60,4,,,,0.52,,18.4275
1,108.33,49.71,-182.91,-153.8,-46.08,-48.98,,,, ,,,,, ,,
1,105.31,50.11,-184.13,-45.39,30.6,-5.71,,,, ,L1,34,31,,,7.769034,
1,107.19,48.72,-184.79,63.82,-29.17,71.78,,,, ,L2,21,17,,,2.631447,
1,108.62,50.33,-185.22,-144.78,-16.44,-82.54,,,, ,L3,33,28,,,6.810804,
1,106.98,48.98,-184.18,-124.1,22.57,-45.49,,,, ,L4,15,11,,,1.216215,
1,107.3,49.4,-184.99,-3.56,27.84,-25.47,F36PC8,PC,7,0.70,4,,,,0.61,,86.026941
1,107.13,49.93,-185.25,-1.66,29.39,-23.84,,,, ,,,,, ,,
1,104.28,51.92,-184.87,-43.62,25.17,17.76,,,, ,L1,66,43,,,20.918898,
1,106.5,52.25,-185.52,-46.94,-23.45,83.05,,,, ,L2,66,38,,,18.486468,
1,106.68,53.23,-185.88,-89.82,0.39,-26.59,,,, ,L3,62,38,,,17.366076,
1,107.41,53.65,-186.5,-110.04,-33.6,-71.99,,,, ,L4,81,49,,,29.255499,
1,102.54,51.25,-177.59,-133.92,22.22,-80.53,F36VC12,VC,5,0.50,3,,,,0.55,,47.98521
1,102.04,51.32,-177.36,-134.91,20.9,-81.6,,,, ,,,,, ,,
1,102.16,53.98,-177.92,-87.77,25.8,-13.07,,,, ,L1,60,42,,,18.57492,
1,100.8,50.08,-177.72,3.82,13.41,48.68,,,, ,L2,37,30,,,8.18181,
1,101.9,50.56,-180.09,64.18,-43.68,33.98,,,, ,L3,60,48,,,21.22848,
1,99.28,51.48,-173.66,-102.96,-8.69,-68.28,F36VC13,VC,4,0.40,3,,,,0.43,,21.257964
1,98.91,51.26,-173.66,-103.25,-7.4,-63.99,,,, ,,,,, ,,
1,99.05,52.71,-174.53,-106.67,12.52,-46.19,,,, ,L1,22,17,,,2.756754,
1,97.93,52.57,-173.51,-52.46,8.01,24.99,,,, ,L2,53,28,,,10.938564,
1,98.6,50.83,-174.83,27.59,-47.73,72.17,,,, ,L3,38,27,,,7.562646,
1,99.68,53.14,-171.82,-78.36,29.03,-0.69,F36I11,I,3,0.30,5,,,,0.41,,11.94102
1,99.82,53.17,-171.44,-78.38,28.29,0.37,,,, ,,,,, ,,
1,99.54,53.32,-170.8,-145.38,71.69,-66.04,,,, ,L1,26,23,,,4.407858,
